,image_path,actual,predicted
0,00206969-018_Kalodimos_TIF.jpg,"{'description': '00206969-018, 05-23-19, staff location portraits, individuals, researchers, Bruker Ascend 1.1 GHz magnet, NMR, man, male, Babis Kalodimos PhD (Structural Biology),'}",0
1,00214636-006_TIF.jpg,"{'description': '00214636-006, 07-01-21, campus aerial, campus exterior, Hope garden, drone'}",0
2,00204697-010_TIF.jpg,"{'description': '00204697-010, 01-31-19, research instruments, laboratory, reagent bottles, glassware, cleaning, autoclave,'}",0
3,00206966-004_Abraham_TIF.jpg,"{'description': '00206966-004, 05-23-19, staff - location portraits, office, Computational Biology, male, Brian Abraham,'}",0
4,00213077-009_TIF.jpg,"{'description': '00213077-009, 11-09-20, campus exteriors, campus details, fall, seasons, leaves, trees, lamp posts, street lights, flags, banners,'}",0
5,00204787-022_TIF.jpg,"{'description': '00204787-022, 02-05-19, research instruments, laboratory, 96 channel pipette,'}",0
6,10001677-029-V1_TIF.jpg,"{'description': '10-05-22, Campus exterior, i4ARC, ARC, research tower, drone, evening, Inspiration Advanced Research Center'}",0
7,00201431-028_TIF.jpg,"{'description': '00201431-028, 08-15-18, Administration, staff - location portraits, individuals, presentation speaker, James (Jim) Downing MD (St. Jude CEO and President),'}",0
8,00202381-006_TIF.jpg,"{'description': '00202381-006, 09-21-18, Memphis views, aerials, drone view, downtown Memphis, cityscape, sunrise,'}",0
9,00207400-092_TIF.jpg,"{'description': '00207400-092, 06-21-19, Board of Governors, Board Tribute Dinner,  DEC, Camille Sarrouf Jr,'}",0
10,219801-017_TIF.jpg,"{'description': 'A St. Jude Research website photo for Kiel Neumann’s lab.\n\n- SJR - Kiel Neumann lab at DTRC, Danny Thomas Research Center.\n\n- Camera Settings: ILCE-9M2, 90mm, ISO 320, 1/80, f/4, Tue, 08-01-2023 at 10:30. v.04.2024 OP'}",0
11,00216097-020-V2_TIF.jpg,"{'description': '00216097, campus aerial views, exterior'}",0
